Month,DowJonesClosing,UnemploymentRate,ConsumerPriceIndex,LaborForceParticipationRate,JobGains,,,,,,,,,,
Jan-04,10673.5,0.057,188,0.662,112,,,,,,,,,,
Feb-04,10739.4,0.056,189,0.662,21,,,,,,,,,,
Mar-04,10958.5,0.057,189.9,0.662,308,,,,,,,,,,
Apr-04,10957.3,0.056,191.1,0.66,288,,,,,,,,,,
May-04,10472.6,0.056,192.1,0.66,248,,,,,,,,,,
Jun-04,10909.3,0.056,193.2,0.66,112,,,,,,,,,,
Jul-04,10854.5,0.055,193.8,0.66,32,,,,,,,,,,
Aug-04,10761.9,0.054,194.4,0.659,144,,,,,,,,,,
Sep-04,10381.3,0.054,195.1,0.659,96,,,,,,,,,,
Oct-04,10686.7,0.055,195.5,0.659,337,,,,,,,,,,
Nov-04,10959.1,0.054,196.2,0.659,112,,,,,,,,,,
Dec-04,10783.9,0.054,196.8,0.658,157,,,,,,,,,,
Jan-05,10917.5,0.053,197.3,0.658,146,,,,,,,,,,
Feb-05,11011.7,0.054,198.1,0.658,262,,,,,,,,,,
Mar-05,10928.3,0.052,198.8,0.658,110,,,,,,,,,,
Apr-05,10929.8,0.052,199.8,0.657,292,,,,,,,,,,
May-05,10510.1,0.051,201.2,0.657,104,,,,,,,,,,
Jun-05,10714.7,0.05,202.4,0.657,146,,,,,,,,,,
Jul-05,10666.1,0.05,203.5,0.656,277,,,,,,,,,,
Aug-05,10890.1,0.049,204.6,0.656,211,,,,,,,,,,
Sep-05,10685.6,0.05,205.7,0.655,-35,,,,,,,,,,
Oct-05,10685.1,0.05,206.8,0.655,56,,,,,,,,,,
Nov-05,10931.2,0.05,207.5,0.655,215,,,,,,,,,,
Dec-05,10717.5,0.049,208.4,0.654,108,,,,,,,,,,
Jan-06,10907.2,0.047,198.3,0.656,193,,,,,,,,,,
Feb-06,11011.3,0.048,199.2,0.656,243,,,,,,,,,,
Mar-06,11144.9,0.047,200.5,0.657,211,,,,,,,,,,
Apr-06,11360.4,0.047,201.5,0.657,138,,,,,,,,,,
May-06,11278.9,0.046,202.5,0.658,75,,,,,,,,,,
Jun-06,11108.3,0.046,203.6,0.658,121,,,,,,,,,,
Jul-06,11143.7,0.047,204.9,0.658,113,,,,,,,,,,
Aug-06,11381.8,0.047,205.9,0.658,128,,,,,,,,,,
Sep-06,11505.2,0.046,206.7,0.657,51,,,,,,,,,,
Oct-06,12134.1,0.044,207.4,0.657,92,,,,,,,,,,
Nov-06,12416.6,0.045,208.4,0.656,132,,,,,,,,,,
Dec-06,12474.5,0.045,209.4,0.655,167,,,,,,,,,,
Jan-07,12646.4,0.046,202.4,0.657,162,,,,,,,,,,
Feb-07,12756.4,0.045,203.2,0.657,113,,,,,,,,,,
Mar-07,12416.6,0.044,204.3,0.657,180,,,,,,,,,,
Apr-07,13063.9,0.045,205.3,0.658,88,,,,,,,,,,
May-07,13627.7,0.044,206.4,0.659,157,,,,,,,,,,
Jun-07,13611.6,0.045,207.4,0.659,69,,,,,,,,,,
Jul-07,13907.9,0.046,208.4,0.659,68,,,,,,,,,,
Aug-07,13304.2,0.046,209.2,0.658,-4,,,,,,,,,,
Sep-07,13895.6,0.047,210.1,0.657,110,,,,,,,,,,
Oct-07,13725.5,0.047,210.9,0.656,159,,,,,,,,,,
Nov-07,13339.8,0.047,211.6,0.655,115,,,,,,,,,,
Dec-07,12800.2,0.05,212.8,0.654,18,,,,,,,,,,
Jan-08,12650.6,0.05,211.1,0.655,-17,,,,,,,,,,
Feb-08,12270.2,0.049,211.8,0.654,-63,,,,,,,,,,
Mar-08,12262.9,0.051,213.3,0.653,-546,,,,,,,,,,
Apr-08,12608.3,0.05,214.5,0.652,-20,,,,,,,,,,
May-08,12638.3,0.055,216.6,0.651,-49,,,,,,,,,,
Jun-08,11350,0.055,218.1,0.65,-62,,,,,,,,,,
Jul-08,11378,0.057,219.2,0.649,-51,,,,,,,,,,
Aug-08,11543.6,0.061,219.9,0.648,-84,,,,,,,,,,
Sep-08,10850.7,0.061,219.4,0.647,-159,,,,,,,,,,
Oct-08,9035.3,0.065,216.6,0.645,-240,,,,,,,,,,
Nov-08,8046.4,0.068,212.2,0.643,-803,,,,,,,,,,
Dec-08,8776.4,0.073,210.2,0.641,275,,,,,,,,,,
Jan-09,8077.6,0.078,211.143,0.655,-598,,,,,,,,,,
Feb-09,7062.9,0.083,211.242,0.653,-651,,,,,,,,,,
Mar-09,7608.92,0.087,212.709,0.651,-663,,,,,,,,,,
Apr-09,8285.97,0.09,213.24,0.65,263,,,,,,,,,,
May-09,8500.33,0.094,213.856,0.649,44,,,,,,,,,,
Jun-09,8447,0.095,215.693,0.648,-467,,,,,,,,,,
Jul-09,9097.5,0.095,215.351,0.647,28,,,,,,,,,,
Aug-09,9311.1,0.096,215.834,0.646,151,,,,,,,,,,
Sep-09,9774.5,0.098,215.969,0.645,254,,,,,,,,,,
Oct-09,9972.3,0.1,216.177,0.644,-190,,,,,,,,,,
Nov-09,10344.8,0.099,216.33,0.643,178,,,,,,,,,,
Dec-09,10428,0.099,218.136,0.642,156,,,,,,,,,,
Jan-10,10067.9,0.098,216.687,0.646,257,,,,,,,,,,
Feb-10,10391,0.098,216.919,0.645,-36,,,,,,,,,,
Mar-10,10857,0.099,218.009,0.644,162,,,,,,,,,,
Apr-10,11045.3,0.099,218.259,0.643,290,,,,,,,,,,
May-10,10868.1,0.096,218.986,0.642,431,,,,,,,,,,
Jun-10,9774.5,0.094,218.654,0.641,217,,,,,,,,,,
Jul-10,10465.9,0.094,218.011,0.64,217,,,,,,,,,,
Aug-10,10014.7,0.095,218.439,0.639,126,,,,,,,,,,
Sep-10,10601.6,0.095,218.439,0.638,-95,,,,,,,,,,
Oct-10,11005.9,0.094,218.803,0.637,151,,,,,,,,,,
Nov-10,11079.4,0.098,218.966,0.636,39,,,,,,,,,,
Dec-10,11577.5,0.093,220.225,0.635,113,,,,,,,,,,
Jan-11,11868.4,0.09,220.223,0.634,36,,,,,,,,,,
Feb-11,12068.2,0.089,221.309,0.633,192,,,,,,,,,,
Mar-11,12354.6,0.088,223.483,0.632,216,,,,,,,,,,
Apr-11,12810.5,0.09,224.906,0.631,244,,,,,,,,,,
May-11,12414.3,0.091,226.642,0.63,54,,,,,,,,,,
Jun-11,12230.8,0.092,226.966,0.629,65,,,,,,,,,,
Jul-11,11866.6,0.091,226.545,0.629,117,,,,,,,,,,
Aug-11,11539.2,0.091,226.545,0.628,36,,,,,,,,,,
Sep-11,10912.3,0.09,226.889,0.627,254,,,,,,,,,,
Oct-11,11444.9,0.09,226.421,0.626,80,,,,,,,,,,
Nov-11,12019.4,0.086,225.969,0.625,120,,,,,,,,,,
Dec-11,12217.6,0.085,225.672,0.624,200,,,,,,,,,,
Jan-12,12720.5,0.083,226.665,0.637,243,,,,,,,,,,
Feb-12,12981.5,0.083,227.663,0.639,233,,,,,,,,,,
Mar-12,13212.1,0.082,229.392,0.638,120,,,,,,,,,,
Apr-12,13213.6,0.081,229.815,0.638,115,,,,,,,,,,
May-12,12640,0.082,229.815,0.637,69,,,,,,,,,,
Jun-12,12414.2,0.082,229.488,0.637,80,,,,,,,,,,
Jul-12,13073.7,0.083,229.104,0.636,163,,,,,,,,,,
Aug-12,13133.1,0.081,230.379,0.635,96,,,,,,,,,,
Sep-12,13593.6,0.078,231.407,0.636,114,,,,,,,,,,
Oct-12,13339.3,0.079,231.037,0.635,171,,,,,,,,,,
Nov-12,13025.2,0.077,230.221,0.634,146,,,,,,,,,,
Dec-12,13104.1,0.078,229.601,0.633,156,,,,,,,,,,
Jan-13,13860.6,0.079,229.596,0.634,155,,,,,,,,,,
Feb-13,14054.5,0.077,230.28,0.635,236,,,,,,,,,,
Mar-13,14578.9,0.076,232.531,0.633,88,,,,,,,,,,
Apr-13,14712.5,0.075,232.831,0.633,165,,,,,,,,,,
May-13,15105.8,0.076,232.957,0.634,175,,,,,,,,,,
Jun-13,14909.6,0.076,232.957,0.635,182,,,,,,,,,,
Jul-13,15558.7,0.074,233.049,0.634,162,,,,,,,,,,
Aug-13,14998.9,0.073,233.049,0.632,169,,,,,,,,,,
Sep-13,15129.6,0.072,233.149,0.632,150,,,,,,,,,,
Oct-13,15381.1,0.073,233.31,0.628,448,,,,,,,,,,
Nov-13,16086.4,0.07,233.049,0.628,203,,,,,,,,,,
Dec-13,16576.6,0.067,233.049,0.628,74,,,,,,,,,,
Jan-14,16458.6,0.066,233.049,0.628,184,,,,,,,,,,
Feb-14,16321.7,0.067,233.406,0.628,159,,,,,,,,,,
Mar-14,16457.2,0.067,236.919,0.627,277,,,,,,,,,,
Apr-14,16581.1,0.063,237.084,0.628,311,,,,,,,,,,
May-14,16717.2,0.063,237.557,0.629,202,,,,,,,,,,
Jun-14,16961.4,0.061,237.746,0.628,333,,,,,,,,,,
Jul-14,17068.9,0.062,238.25,0.629,243,,,,,,,,,,
Aug-14,17098.6,0.061,238.324,0.628,181,,,,,,,,,,
Sep-14,17279.1,0.059,238.122,0.627,307,,,,,,,,,,
Oct-14,17280.8,0.057,237.838,0.628,240,,,,,,,,,,
Nov-14,17828.6,0.058,237.431,0.628,284,,,,,,,,,,
Dec-14,17823.1,0.056,236.919,0.627,278,,,,,,,,,,
Jan-15,17511.3,0.057,236.919,0.629,196,,,,,,,,,,
Feb-15,18133.8,0.055,237.017,0.628,269,,,,,,,,,,
Mar-15,18116,0.055,236.922,0.627,94,,,,,,,,,,
Apr-15,18051.3,0.054,236.674,0.628,277,,,,,,,,,,
May-15,18011.1,0.055,237.805,0.629,337,,,,,,,,,,
Jun-15,17946.7,0.053,238.638,0.628,156,,,,,,,,,,
Jul-15,17689.9,0.053,238.654,0.628,294,,,,,,,,,,
Aug-15,16459.7,0.051,237.83,0.626,141,,,,,,,,,,
Sep-15,16284.7,0.051,237.945,0.624,135,,,,,,,,,,
Oct-15,17646.7,0.05,237.838,0.624,319,,,,,,,,,,
Nov-15,17719.2,0.05,237.056,0.625,226,,,,,,,,,,
Dec-15,17425,0.05,237.056,0.626,273,,,,,,,,,,
Jan-16,16466.3,0.049,236.919,0.627,113,,,,,,,,,,
Feb-16,16517.2,0.049,237.111,0.629,215,,,,,,,,,,
Mar-16,17581.7,0.05,238.132,0.63,255,,,,,,,,,,
Apr-16,17773.1,0.05,237.764,0.629,190,,,,,,,,,,
May-16,17787.1,0.047,237.915,0.629,45,,,,,,,,,,
Jun-16,17400.8,0.049,237.962,0.628,251,,,,,,,,,,
Jul-16,18432.2,0.049,238.638,0.629,363,,,,,,,,,,
Aug-16,18576.1,0.049,238.851,0.628,149,,,,,,,,,,
Sep-16,18308.1,0.05,238.632,0.629,297,,,,,,,,,,
Oct-16,18259.6,0.049,239.203,0.628,108,,,,,,,,,,
Nov-16,19121.6,0.046,239.285,0.627,119,,,,,,,,,,
Dec-16,19763.9,0.047,241.433,0.627,222,,,,,,,,,,JobGains
Jan-17,19804.7,0.048,241.433,0.629,226,,,,,,,,,,
Feb-17,20812.2,0.047,242.238,0.63,212,,,,,,,,,,
Mar-17,20663.9,0.045,243.801,0.63,128,,,,,,,,,,
Apr-17,20940.5,0.044,244.524,0.629,197,,,,,,,,,,
May-17,21080.3,0.043,244.733,0.628,216,,,,,,,,,,
Jun-17,21458.9,0.044,244.955,0.628,199,,,,,,,,,,
Jul-17,22026.1,0.043,245.685,0.629,184,,,,,,,,,,
Aug-17,21988.9,0.044,245.685,0.629,135,,,,,,,,,,
Sep-17,22405.9,0.042,246.819,0.631,92,,,,,,,,,,
Oct-17,23361.2,0.041,247.038,0.629,147,,,,,,,,,,
Nov-17,24272.6,0.041,246.669,0.629,229,,,,,,,,,,
Dec-17,24837.5,0.041,246.524,0.627,146,,,,,,,,,,
Jan-18,26149.4,0.041,247.867,0.627,146,,,,,,,,,,
Feb-18,25029.2,0.041,248.991,0.63,387,,,,,,,,,,
Mar-18,24103.2,0.04,249.554,0.629,226,,,,,,,,,,
Apr-18,24448.7,0.039,250.546,0.628,146,,,,,,,,,,
May-18,24415.1,0.038,251.588,0.627,329,,,,,,,,,,
Jun-18,24271.4,0.04,251.989,0.629,213,,,,,,,,,,
Jul-18,25502.3,0.039,252.006,0.629,55,,,,,,,,,,
Aug-18,25964.8,0.039,252.146,0.627,251,,,,,,,,,,
Sep-18,26458.4,0.037,252.439,0.627,87,,,,,,,,,,
Oct-18,25115.7,0.037,252.925,0.628,164,,,,,,,,,,
Nov-18,25538.4,0.037,252.975,0.629,97,,,,,,,,,,
Dec-18,23062.4,0.039,251.588,0.631,182,,,,,,,,,,
Jan-19,24999.7,0.04,251.588,0.631,258,,,,,,,,,,
Feb-19,26031.3,0.038,252.006,0.632,5,,,,,,,,,,
Mar-19,25929,0.038,254.202,0.631,227,,,,,,,,,,
Apr-19,26592.9,0.036,255.957,0.629,308,,,,,,,,,,
May-19,24815.1,0.036,256.092,0.628,38,,,,,,,,,,
Jun-19,26600.5,0.037,256.279,0.629,204,,,,,,,,,,
Jul-19,27359.5,0.037,256.854,0.63,90,,,,,,,,,,
Aug-19,26824.7,0.037,256.948,0.63,221,,,,,,,,,,
Sep-19,27108.4,0.035,256.759,0.629,203,,,,,,,,,,
Oct-19,26942.7,0.036,257.346,0.63,100,,,,,,,,,,
Nov-19,28051.4,0.035,257.814,0.632,208,,,,,,,,,,
Dec-19,28538.4,0.035,257.971,0.632,126,,,,,,,,,,
Jan-20,29348.5,0.036,257.971,0.634,253,,,,,,,,,,
Feb-20,29398.8,0.035,258.811,0.634,264,,,,,,,,,,
Mar-20,20704.9,0.044,258.814,0.627,-1411,,,,,,,,,,
Apr-20,24345.7,0.147,257.342,0.602,-20477,,,,,,,,,,
May-20,25383.1,0.133,256.793,0.608,2619,,,,,,,,,,
Jun-20,25812.9,0.111,257.797,0.615,4615,,,,,,,,,,
Jul-20,26470.9,0.102,258.805,0.618,1585,,,,,,,,,,
Aug-20,28430.7,0.084,259.107,0.619,1534,,,,,,,,,,
Sep-20,27781.7,0.079,259.694,0.616,1046,,,,,,,,,,
Oct-20,28335.6,0.069,260.715,0.617,673,,,,,,,,,,
Nov-20,30046.2,0.067,260.474,0.615,268,,,,,,,,,,
Dec-20,30606.4,0.065,260.474,0.615,-243,,,,,,,,,,
Jan-21,31176.7,0.063,260.474,0.614,398,,,,,,,,,,
Feb-21,31458.4,0.062,261.381,0.614,527,,,,,,,,,,
Mar-21,33153.2,0.06,263.161,0.615,831,,,,,,,,,,
Apr-21,34043.8,0.061,263.941,0.617,319,,,,,,,,,,
May-21,34529.4,0.058,265.245,0.616,451,,,,,,,,,,
Jun-21,34633.4,0.059,266.632,0.616,778,,,,,,,,,,
Jul-21,35084.5,0.054,267.056,0.617,939,,,,,,,,,,
Aug-21,35455.8,0.052,267.597,0.617,465,,,,,,,,,,
Sep-21,34584.8,0.048,268.487,0.616,480,,,,,,,,,,
Oct-21,35819.3,0.046,270.927,0.616,860,,,,,,,,,,
Nov-21,36432.2,0.042,273.792,0.618,631,,,,,,,,,,
Dec-21,36799.6,0.039,274.738,0.619,566,,,,,,,,,,
Jan-22,36100.1,0.04,278.903,0.622,251,,,,,,,,,,
Feb-22,33892.6,0.038,281.148,0.623,862,,,,,,,,,,
Mar-22,34678.3,0.036,284.352,0.624,494,,,,,,,,,,
Apr-22,33613.2,0.036,287.037,0.622,272,,,,,,,,,,
May-22,32654.6,0.036,291.483,0.621,286,,,,,,,,,,
Jun-22,30775.4,0.036,296.311,0.62,420,,,,,,,,,,
Jul-22,32845.1,0.035,296.276,0.621,690,,,,,,,,,,
Aug-22,33744.8,0.037,296.969,0.62,243,,,,,,,,,,
Sep-22,30577.7,0.035,298.012,0.619,255,,,,,,,,,,
Oct-22,32337.8,0.037,300.016,0.618,361,,,,,,,,,,
Nov-22,34395.1,0.037,299.573,0.619,258,,,,,,,,,,
Dec-22,33026.5,0.037,296.311,0.618,136,,,,,,,,,,
Jan-23,33973.8,0.034,296.959,0.624,482,,,,,,,,,,
Feb-23,34058.8,0.035,297.791,0.625,287,,,,,,,,,,
Mar-23,32237.7,0.037,299.472,0.622,146,,,,,,,,,,
Apr-23,34818.1,0.034,302.014,0.623,278,,,,,,,,,,
May-23,34529.4,0.036,304.332,0.622,303,,,,,,,,,,
Jun-23,33962.2,0.038,306.62,0.619,240,,,,,,,,,,
Jul-23,35815.1,0.038,307.571,0.62,184,,,,,,,,,,
Aug-23,35332.4,0.038,307.717,0.619,210,,,,,,,,,,
Sep-23,34601.6,0.037,307.717,0.618,246,,,,,,,,,,
Oct-23,34895.2,0.039,308.457,0.617,150,,,,,,,,,,
Nov-23,35444.8,0.037,308.316,0.618,182,,,,,,,,,,
Dec-23,35695.6,0.037,307.979,0.618,290,,,,,,,,,,
Jan-24,35950.8,0.038,308.316,0.619,256,,,,,,,,,,
Feb-24,35804.4,0.035,308.316,0.621,236,,,,,,,,,,
Mar-24,36721.4,0.037,310.284,0.619,310,,,,,,,,,,
Apr-24,35891.4,0.039,310.284,0.618,108,,,,,,,,,,
May-24,35740.9,0.037,311.244,0.619,216,,,,,,,,,,
Jun-24,35615.1,0.038,311.244,0.618,118,,,,,,,,,,
Jul-24,35470.8,0.039,311.244,0.617,144,,,,,,,,,,
Sep-24,37259.8,0.041,314.639,0.621,255,,,,,,,,,,
Oct-24,36769.4,0.042,315.34,0.62,36,,,,,,,,,,
Nov-24,37394.8,0.041,316.03,0.621,227,,,,,,,,,,
Dec 24,42573.73,0.042,0,0.625,153,,,,,,,,,,
